Id,Label,timeset,pageranks,modularity_class
1692,@CubicSnarkonia,,0.00025,90
1693,@Pablogomez3,,0.000267,0
1694,@LucasScottChan2,,0.000254,1
1695,@DeeWescott,,0.000263,99
1696,@Bilybalboa,,0.000245,69
1697,@AlexForsy,,0.000246,36
1698,@alisonmilner33,,0.000253,107
1699,@iamajed555,,0.000263,119
1700,@BecInTheWild,,0.000259,195
1701,@AltyxEx,,0.000263,60
1702,@Reshmx_M,,0.00025,90
1703,@mengli11235,,0.00025,1
1704,@kpgrace,,0.000259,87
1705,@CousinTheophile,,0.000274,73
1706,@MeggieBrody,,0.000271,40
1707,@rebelbabe61,,0.000248,90
1708,@Dr4GonFireX,,0.000254,1
1709,@teeboge,,0.000254,1
1710,@p4riah,,0.000252,60
1711,@CianGaia,,0.000245,69
1712,@Rbnhoodga,,0.000263,99
1713,@LakeshaWilborn,,0.000292,61
1714,@jason_beckstead,,0.000254,87
1715,@JeffFrick,,0.000244,36
1716,@lisabberlin,,0.000416,111
1717,@LeRipou_,,0.00025,1
1718,@rocket_quote,,0.00025,1
1719,@LurakeBuz,,0.000263,99
1720,@DoveLabels,,0.000263,119
1721,@Triamus1,,0.000267,0
1722,@roro_dej,,0.000263,119
1723,@vbandeadfan,,0.000284,81
1724,@jallawati,,0.000237,69
1725,@lkjtexas,,0.000248,90
1726,@FLPatsFan67,,0.000284,81
1727,@KinngKhatri,,0.000245,69
1728,@SharmaSnjv,,0.000254,1
1729,@gail_carson,,0.000245,69
1730,@HECParis,,0.000214,36
1731,@HelenMqeku,,0.000245,69
1732,@glueman16803,,0.000263,99
1733,@cfiesler,,0.000259,195
1734,@YolandaAaliyah,,0.000254,1
1735,@Mauro_Olivieri_,,0.000267,0
1736,@CodingFlux_,,0.000274,73
1737,@jamieleung,,0.000263,119
1738,@Catalyst_About,,0.000254,1
1739,@MPWangTingyu,,0.00025,90
1740,@PoohieDog,,0.000263,99
1741,@hanbaki,,0.00025,90
1742,@aravitz,,0.000252,60
1743,@frleivab,,0.000245,69
1744,@Team_Brophy,,0.00054,120
1745,@PPZRS_CZ,,0.000245,69
1746,@ellie_mir,,0.000276,87
1747,@AmandaPalgrave,,0.000271,40
1748,@charlesDchenet,,0.000254,1
1749,@Staci_Vice,,0.000248,90
1750,@codefinest,,0.000263,119
1751,@my_hope5SOS,,0.000263,60
1752,@vjain94,,0.000267,0
1753,@QuantumGypsy9,,0.000254,1
1754,@sjhall121,,0.000248,90
1755,@seminoledame,,0.000263,99
1756,@HumanWithABrain,,0.00025,1
1757,@chiefaiofficers,,0.000267,0
1758,@surajpindoria,,0.000254,87
1759,@nekopia01,,0.00025,90
1760,@etbal,,0.000274,73
1761,@ElyciaFrance,,0.000284,81
1762,@konipka1,,0.000263,99
1763,@MatthewRehrl,,0.000237,71
1764,@helder_willian,,0.000267,0
1765,@MaryAReed,,0.000263,99
1766,@Rena_Samo,,0.000263,99
1767,@lousianadwinta,,0.000245,69
1768,@quailcrown,,0.000238,107
1769,@jzikusooka,,0.00025,1
1770,@mckbirdbks,,0.000248,90
1771,@bradplumer,,0.000252,60
1772,@AlexOsterwalder,,0.005645,36
1773,@Sassy_Book_Girl,,0.000252,60
1774,@faizanned,,0.000267,0
1775,@itashasuxx,,0.00025,1
1776,@teaandmagnolias,,0.000263,99
1777,@PatVinkenes,,0.000263,99
1778,@KurtisKChoi,,0.000231,87
1779,@uwmnewsroom,,0.00023,71
1780,@geekfrenchie,,0.000267,0
1781,@Rez147930588,,0.000254,1
1782,@TurkmenogluZem,,0.00025,1
1783,@Iamsaichenreddy,,0.000254,1
1784,@brittberry05,,0.000263,99
1785,@deanhugchester,,0.000292,61
1786,@abhijeetsafai,,0.000235,36
1787,@Dathtective,,0.000284,81
1788,@MyFULL2CYNTS,,0.000263,99
1789,@carrotblanche,,0.000238,107
1790,@KitsuneKohi,,0.000259,195
1791,@sb_overseas,,0.000238,107
1792,@_RGP,,0.000254,1
1793,@ngtknt,,0.000274,73
1794,@NaGaLu222,,0.000292,61
1795,@Mecapricieux,,0.000259,195
1796,@onthetrainlmao,,0.000292,61
1797,@carlosbarria,,0.000245,69
1798,@BinMich,,0.00025,90
1799,@arabwanderlust,,0.000263,119
1800,@kshitijds,,0.000267,0
1801,@SantiagoN1976,,0.000263,99
1802,@__rsoper__,,0.000267,0
1803,@MarsdenPa,,0.000245,69
1804,@alifiyahpg,,0.000253,107
1805,@sgk22x,,0.000263,119
1806,@moseswong7,,0.000267,0
1807,@Shelbylstfranc2,,0.00025,1
1808,@simply_omhle,,0.000263,119
1809,@sunlightpump,,0.000253,107
1810,@gwhiteg,,0.000274,73
1811,@Eldelstein,,0.000263,119
